column_name,column_description,prelim,BE_WAL_2015,BE_WAL_2016,BE_WAL_2017,BE_WAL_2018,BE_WAL_2019,BE_WAL_2020,BE_WAL_2021,BE_WAL_2022,BE_WAL_2023,BE_WAL_2024
field_id,Unique identifier for each field in country or state,1,,,,,,,,,,
farm_id,Unique identifier for each farm in country,1,PR_ID,PR_ID,PR_ID,PR_ID,PR_ID,PR_ID,PR_ID,PR_ID,PR_ID,PR_ID
crop_code,"The original, country-specific crop code",1,CULTURE,CULTURE,CULTURE,CULTURE,CULTURE,CULTURE,CULTURE,CULTURE,CULTURE,CULTURE
crop_name,"The original, country-specific crop name",1,CULT_NOM,CULT_NOM,CULT_NOM,CULT_NOM,CULT_NOM,CULT_NOM,CULT_NOM,CULT_NOM,CULT_NOM,CULT_NOM
EC_trans_n,The original crop name translated into English,1,,,,,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,,,,,
info_organic,Information and organic cultivation,0,"[N, O]","[N, O]","[N, O]","[N, O]","[N, O]","[N, O]","[N, O]","[N, O]","[N, O]","[N, O]"
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",1,CERTIF_BIO,CERTIF_BIO,CERTIF_BIO,CERTIF_BIO,CERTIF_BIO,CERTIF_BIO,CERTIF_BIO,CERTIF_BIO,CERTIF_BIO,CERTIF_BIO
field_size,Size of field in hectar,1,SURF_HA,SURF_HA,SURF_HA,SURF_HA,SURF_HA,SURF_HA,SURF_HA,SURF_HA,SURF_HA,SURF_HA
