column_name,column_description,prelim,DE_BAV_2021,DE_BAV_2022,DE_BAV_2023,DE_BAV_2024,DE_BAV_2025
field_id,Unique identifier for each field in country or state,1,fid,fid,fid,fid,fid
farm_id,Unique identifier for each farm in country,0,betnr_pseudo,betnr_pseudo,betnr_pseudo,betnr_pseudo,betnr_pseudo
crop_code,"The original, country-specific crop code",1,nutz_code,nutz_code,nutz_code,nutz_code,nutz_code
crop_name,"The original, country-specific crop name",1,nutz_besch,nutz_besch,nutz_besch,nutz_besch,nutz_besch
EC_trans_n,The original crop name translated into English,1,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,
info_organic,Information and organic cultivation,0,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",0,,,,,
field_size,Size of field in hectar,1,flaeche,flaeche,flaeche,flaeche,flaeche
crop_area,,1,flaeche_nutz,flaeche_nutz,flaeche_nutz,flaeche_nutz,flaeche_nutz
intercrop_code,"The original, country-specific intercrop code",0,,,,,
intercrop_name,"The original, country-specific intercrop name",0,,,,,
