column_name,column_description,prelim,DE_SAT_2008,DE_SAT_2009,DE_SAT_2010,DE_SAT_2011,DE_SAT_2012,DE_SAT_2013,DE_SAT_2014,DE_SAT_2015,DE_SAT_2016,DE_SAT_2017,DE_SAT_2018,DE_SAT_2019,DE_SAT_2020,DE_SAT_2021,DE_SAT_2022,DE_SAT_2023
field_id,Unique identifier for each field in country or state,1,uni_id,uni_id,uni_id,field_id,field_id,field_id,field_id,field_id,uni_id,field_id,field_id,field_id,field_id,field_id,field_id,uni_id
farm_id,Unique identifier for each farm in country,1,BTNR,BTNR,BTNR,BTNR,BTNR,BTNR,BTNR,BTNR,BTNR,BTNR,btnr,btnr_pseud,btnr_pseud,btnr_pseud,btnr_pseud,btnr_pseud
crop_code,"The original, country-specific crop code",1,NU_CODE,NU_CODE,NU_CODE,NU_CODE,NU_CODE,NU_CODE,NU_CODE,NU_CODE,NU_CODE,NU_CODE,code,CODE,code,code,code,code
crop_name,"The original, country-specific crop name",1,NU_BEZ,NU_BEZ,NU_BEZ,NU_BEZ,NU_BEZ,NU_BEZ,NU_BEZ,NU_BEZ,NU_BEZ,NU_BEZ,code_bez,CODE_BEZ,code_bez,code_bez,code_bez,code_bez
EC_trans_n,The original crop name translated into English,1,,,,,,,,,,,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,,,,,,,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,,,,,,,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,,,,,,,,,,,
info_organic,Information and organic cultivation,0,,,,,,,,,,,,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",1,,,,,,,,,,,,Oeko,Oeko,Oeko,Oeko,Oeko
field_size,Size of field in hectar,1,area_ha,area_ha,area_ha,area_ha,area_ha,area_ha,area_ha,area_ha,area_ha,area_ha,area_ha,area_ha,area_ha,area_ha,area_ha,area_ha
