column_name,column_description,prelim,IT_EMR_2018,IT_EMR_2019,IT_EMR_2020,IT_EMR_2021,IT_EMR_2022,IT_EMR_2023,IT_EMR_2024
field_id,Unique identifier for each field in country or state,1,new_id,new_id,new_id,new_id,new_id,new_id,new_id
farm_id,Unique identifier for each farm in country,1,COD_AZI,COD_AZI,COD_AZI,COD_AZI,COD_AZI,COD_AZI,COD_AZI
crop_code,"The original, country-specific crop code",1,COD_SUOLO,COD_SUOLO,COD_SUOLO,COD_SUOLO,COD_SUOLO,COD_SUOLO,COD_SUOLO
crop_name,"The original, country-specific crop name",1,DESC_SUOLO,DESC_SUOLO,DESC_SUOLO,DESC_SUOLO,DESC_SUOLO,DESC_SUOLO,DESC_SUOLO
EC_trans_n,The original crop name translated into English,1,,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,,
info_organic,Information and organic cultivation,0,,,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",1,FLAG_BIOL,FLAG_BIOL,FLAG_BIOL,COD_BIO,COD_BIO,COD_BIO,COD_BIO
field_size,Size of field in hectar,1,,,,,,,
