column_name,column_description,prelim,PT_PT_2020,PT_PT_2021,PT_PT_2022,PT_PT_2023,PT_PT_2024,PT_PT_2025
field_id,Unique identifier for each field in country or state,1,OSA_ID,OSA_ID,OSA_ID,OSA_ID,OSA_ID,OSA_ID
farm_id,Unique identifier for each farm in country,1,ENT_ID,ENT_ID,ENT_ID,ENT_ID,ENT_ID,ENT_ID
crop_code,"The original, country-specific crop code",1,PUN_CUL,PUN_CUL,PUN_CUL,PUN_CUL_COD,PUN_CUL_COD,PUN_CUL_COD
crop_name,"The original, country-specific crop name",1,PUN_CUL_DESC,PUN_CUL_DESC,PUN_CUL_DESC,PUN_CUL_DESC,PUN_CUL_DESC,PUN_CUL_DESC
EC_trans_n,The original crop name translated into English,1,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,
info_organic,Information and organic cultivation,0,,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",0,,,,,,
field_size,Size of field in hectar,1,,,,,,
